2012-05-09 16:43:00,211 | [22] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":4761};
2012-05-09 16:44:50,819 | [24] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveConfigurationPrinciple","Id":0,"Code":"CONF-2","Success":true,"Message":"Save Configuration Principle Completed."};
2012-05-09 16:44:51,974 | [25] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1034};
2012-05-09 16:53:53,934 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 16:53:53,997 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 16:54:42,129 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":8795};
2012-05-09 16:56:41,753 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveConfigurationPrinciple","Id":0,"Code":"CONF-3","Success":true,"Message":"Save Configuration Principle Completed."};
2012-05-09 16:56:42,145 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":263};
2012-05-09 17:00:33,417 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:00:33,433 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 17:00:44,820 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":7112};
2012-05-09 17:01:36,830 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveConfigurationPrinciple","Id":0,"Code":"CONF-4","Success":true,"Message":"Save Configuration Principle Completed."};
2012-05-09 17:01:37,815 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":826};
2012-05-09 17:05:36,547 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
