2012-05-08 15:35:01,808 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.7581666 seconds.;
2012-05-08 15:35:18,944 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.9354401 seconds.;
2012-05-08 15:35:38,000 | [22] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.0092333 seconds.;
2012-05-08 15:35:39,422 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0032258 seconds.;
2012-05-08 15:35:39,422 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0032258 seconds.;
2012-05-08 15:35:40,640 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0032258 seconds.;
2012-05-08 15:35:40,640 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0032258 seconds.;
2012-05-08 15:35:41,499 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.7130791 seconds.;
2012-05-08 15:35:49,591 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:2679};
2012-05-08 15:37:49,149 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 119.5671673 seconds.;
2012-05-08 15:41:48,405 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 5.0719821 seconds. Path file: /;
2012-05-08 15:43:13,363 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 68.5600079 seconds. Path file: /Dcm/GenComboboxObdGenerationByType;
2012-05-08 15:43:40,480 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005255 seconds. Path file: /Dcm/GenComboboxGeneration;
2012-05-08 15:44:15,876 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.9963227 seconds. Path file: /;
2012-05-08 15:44:38,307 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0018077 seconds. Path file: /Dcm/GenComboboxObdGenerationByType;
2012-05-08 15:44:38,838 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0048385 seconds. Path file: /Dcm/SearchGenerationSummary;
2012-05-08 15:44:39,041 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004208 seconds. Path file: /Dcm/GenComboboxGeneration;
2012-05-08 15:44:39,072 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012846 seconds. Path file: /Dcm/SearchGenerationSummary;
