2012-07-17 15:05:49,914 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:05:43.5104121+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"17/07/2012","createDateSt":"17/07/2012","elapsedMilliseconds":2973,"end":"2012-07-17T15:05:46.5176995+07:00","duration":"00:00:03.0072874"};
2012-07-17 15:06:04,125 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:05:55.0097805+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":6624,"end":"2012-07-17T15:06:01.6008819+07:00","duration":"00:00:06.5911014"};
2012-07-17 15:06:17,089 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:06:13.4274681+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1121,"end":"2012-07-17T15:06:14.5337759+07:00","duration":"00:00:01.1063078"};
2012-07-17 15:06:42,175 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:06:38.5764933+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1158,"end":"2012-07-17T15:06:39.7295465+07:00","duration":"00:00:01.1530532"};
2012-07-17 15:06:47,613 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:06:44.0457051+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1063,"end":"2012-07-17T15:06:45.1052675+07:00","duration":"00:00:01.0595624"};
2012-07-17 15:06:52,740 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:06:48.8448995+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1457,"end":"2012-07-17T15:06:50.2940069+07:00","duration":"00:00:01.4491074"};
2012-07-17 15:06:59,565 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:06:55.9813639+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1106,"end":"2012-07-17T15:06:57.0876717+07:00","duration":"00:00:01.1063078"};
2012-07-17 15:07:04,691 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:07:01.1545215+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1072,"end":"2012-07-17T15:07:02.2140839+07:00","duration":"00:00:01.0595624"};
2012-07-17 15:07:10,939 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:07:07.3560779+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1069,"end":"2012-07-17T15:07:08.4312221+07:00","duration":"00:00:01.0751442"};
2012-07-17 15:07:17,079 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:07:13.1836711+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1389,"end":"2012-07-17T15:07:14.5704513+07:00","duration":"00:00:01.3867802"};
2012-07-17 15:07:48,538 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:07:44.9549613+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1096,"end":"2012-07-17T15:07:46.0612691+07:00","duration":"00:00:01.1063078"};
2012-07-17 15:08:01,907 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:07:58.2774003+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1079,"end":"2012-07-17T15:07:59.3525445+07:00","duration":"00:00:01.0751442"};
2012-07-17 15:08:08,405 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:08:04.6503565+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1184,"end":"2012-07-17T15:08:05.8345733+07:00","duration":"00:00:01.1842168"};
2012-07-17 15:08:17,037 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:08:13.2826737+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1181,"end":"2012-07-17T15:08:14.4668905+07:00","duration":"00:00:01.1842168"};
2012-07-17 15:13:06,311 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:13:02.6020825+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1132,"end":"2012-07-17T15:13:03.739751+07:00","duration":"00:00:01.1376685"};
2012-07-17 15:24:38,947 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:24:19.4003784+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":16943,"end":"2012-07-17T15:24:36.3353085+07:00","duration":"00:00:16.9349301"};
2012-07-17 15:24:46,210 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:24:42.2913032+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1102,"end":"2012-07-17T15:24:43.3954171+07:00","duration":"00:00:01.1041139"};
