2012-03-22 12:03:18,895 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016994 seconds.;
2012-03-22 12:03:18,911 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006337 seconds.;
2012-03-22 12:03:18,927 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002605 seconds.;
2012-03-22 12:03:51,148 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.0778859 seconds.;
2012-03-22 12:03:58,087 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012888 seconds.;
2012-03-22 12:03:58,118 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005056 seconds.;
2012-03-22 12:03:58,196 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0081229 seconds.;
2012-03-22 12:03:58,524 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005021 seconds.;
2012-03-22 12:03:58,633 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003167 seconds.;
2012-03-22 12:03:58,743 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0049698 seconds.;
2012-03-22 12:03:58,758 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0049698 seconds.;
2012-03-22 12:04:43,825 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.9065899 seconds.;
2012-03-22 12:04:51,169 | [22] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014914 seconds.;
2012-03-22 12:04:51,201 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006525 seconds.;
2012-03-22 12:04:51,216 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006251 seconds.;
2012-03-22 12:04:51,591 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0051487 seconds.;
2012-03-22 12:04:51,623 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0007749 seconds.;
2012-03-22 12:04:51,669 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016463 seconds.;
2012-03-22 12:06:34,957 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.6091796 seconds.;
2012-03-22 12:06:42,793 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012968 seconds.;
2012-03-22 12:06:42,840 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004912 seconds.;
2012-03-22 12:06:42,856 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002518 seconds.;
2012-03-22 12:06:43,199 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005825 seconds.;
2012-03-22 12:06:43,434 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005365 seconds.;
2012-03-22 12:06:43,480 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.004287 seconds.;
2012-03-22 12:06:43,480 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.004287 seconds.;
2012-03-22 12:06:51,005 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0046941 seconds.;
2012-03-22 12:06:52,832 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0023722 seconds.;
2012-03-22 12:06:53,144 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006722 seconds.;
2012-03-22 12:06:53,159 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003166 seconds.;
2012-03-22 12:06:53,159 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002173 seconds.;
2012-03-22 12:06:53,440 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0024442 seconds.;
2012-03-22 12:06:53,440 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005334 seconds.;
2012-03-22 12:06:53,440 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002635 seconds.;
2012-03-22 12:07:12,486 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.3852143 seconds.;
2012-03-22 12:07:20,464 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013228 seconds.;
2012-03-22 12:07:20,479 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.001048 seconds.;
2012-03-22 12:07:20,511 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002336 seconds.;
2012-03-22 12:07:20,807 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005115 seconds.;
2012-03-22 12:07:21,010 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006835 seconds.;
2012-03-22 12:07:21,151 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0052178 seconds.;
2012-03-22 12:07:21,182 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025078 seconds.;
2012-03-22 12:07:43,225 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:, effectiveDateSt:22/03/2012, createDateSt:22/03/2012, elapsedMilliseconds:394};
2012-03-22 12:07:43,225 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004091 seconds.;
2012-03-22 12:07:45,036 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0033403 seconds.;
2012-03-22 13:29:31,879 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 7.2044585 seconds.;
2012-03-22 13:29:55,668 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 12.26646 seconds.;
2012-03-22 13:29:55,668 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 12.26646 seconds.;
2012-03-22 13:29:55,683 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 12.26646 seconds.;
2012-03-22 13:29:56,497 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0068378 seconds.;
2012-03-22 13:29:56,528 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005696 seconds.;
2012-03-22 13:29:56,575 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000363 seconds.;
2012-03-22 13:29:56,591 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0017561 seconds.;
2012-03-22 13:30:11,474 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0007254 seconds.;
2012-03-22 13:48:05,905 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001745 seconds.;
2012-03-22 13:55:14,339 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001999 seconds.;
2012-03-22 14:04:46,140 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0083983 seconds.;
2012-03-22 14:04:48,750 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0022867 seconds.;
2012-03-22 14:04:49,375 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004699 seconds.;
2012-03-22 14:04:49,390 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002947 seconds.;
2012-03-22 14:04:49,406 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006052 seconds.;
2012-03-22 14:04:49,593 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0023523 seconds.;
2012-03-22 14:04:49,656 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002753 seconds.;
2012-03-22 14:04:49,671 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002731 seconds.;
2012-03-22 14:04:51,890 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:, effectiveDateSt:, createDateSt:, elapsedMilliseconds:443};
2012-03-22 14:04:51,890 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0039735 seconds.;
2012-03-22 14:04:59,578 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {method:SchemeSearchAll, name:, code:, status:, principleCode:, effectiveDateSt:, effectiveTimeSt:, elapsedMilliseconds:196};
2012-03-22 14:04:59,578 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016543 seconds.;
2012-03-22 14:05:03,828 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0033498 seconds.;
2012-03-22 14:05:08,797 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025481 seconds.;
2012-03-22 14:06:29,423 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0050306 seconds.;
2012-03-22 14:06:31,923 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0021834 seconds.;
2012-03-22 14:06:32,517 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005494 seconds.;
2012-03-22 14:06:32,533 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002205 seconds.;
2012-03-22 14:06:32,533 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002929 seconds.;
2012-03-22 14:06:32,752 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0022715 seconds.;
2012-03-22 14:06:32,783 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004601 seconds.;
2012-03-22 14:06:32,798 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002713 seconds.;
